"team","sentiment","time"
"Cardinals",0.21005,"0"
"Falcons",0,"0"
"Ravens",0.4215,"0"
"Bills",0.9152,"0"
"Panthers",-0.369,"0"
"Bears",0,"0"
"Bengals",0,"0"
"Browns",0.388666666666667,"0"
"Cowboys",0,"0"
"Broncos",0.1465,"0"
"Lions",0.50665,"0"
"Packers",0.3626,"0"
"Texans",0,"0"
"Colts",0,"0"
"Jaguars",0,"0"
"Chiefs",0,"0"
"Chargers",-0.5664,"0"
"Rams",0,"0"
"Dolphins",0.4302,"0"
"Vikings",0.6059,"0"
"Patriots",0,"0"
"Saints",0,"0"
"Giants",0,"0"
"Jets",0,"0"
"Raiders",0.6696,"0"
"Eagles",0,"0"
"Steelers",0.2199,"0"
"49ers",0.694675,"0"
"Seahawks",0.2784,"0"
"Buccaneers",0.0614,"0"
"Titans",0,"0"
"Football Team",0,"0"
"Cardinals",0.21005,"5"
"Falcons",0,"5"
"Ravens",0.4215,"5"
"Bills",0.9152,"5"
"Panthers",-0.369,"5"
"Bears",0,"5"
"Bengals",0,"5"
"Browns",0.388666666666667,"5"
"Cowboys",0,"5"
"Broncos",0.1465,"5"
"Lions",0.50665,"5"
"Packers",0.3626,"5"
"Texans",0,"5"
"Colts",0,"5"
"Jaguars",0,"5"
"Chiefs",0,"5"
"Chargers",-0.5664,"5"
"Rams",0,"5"
"Dolphins",0.4302,"5"
"Vikings",0.6059,"5"
"Patriots",0,"5"
"Saints",0,"5"
"Giants",0,"5"
"Jets",0,"5"
"Raiders",0.6696,"5"
"Eagles",0,"5"
"Steelers",0.2199,"5"
"49ers",0.694675,"5"
"Seahawks",0.2784,"5"
"Buccaneers",0.0614,"5"
"Titans",0,"5"
"Football Team",0,"5"
"Cardinals",0.21005,"10"
"Falcons",0,"10"
"Ravens",0.4215,"10"
"Bills",0.9152,"10"
"Panthers",-0.369,"10"
"Bears",0.0772,"10"
"Bengals",0,"10"
"Browns",0.388666666666667,"10"
"Cowboys",0,"10"
"Broncos",0.1465,"10"
"Lions",0.50665,"10"
"Packers",0.3626,"10"
"Texans",0,"10"
"Colts",0,"10"
"Jaguars",0,"10"
"Chiefs",0,"10"
"Chargers",-0.5664,"10"
"Rams",0,"10"
"Dolphins",0.4302,"10"
"Vikings",0.6059,"10"
"Patriots",0,"10"
"Saints",0,"10"
"Giants",0,"10"
"Jets",0,"10"
"Raiders",0.6696,"10"
"Eagles",0.4077,"10"
"Steelers",0.2199,"10"
"49ers",0.55574,"10"
"Seahawks",0.4434,"10"
"Buccaneers",0.0614,"10"
"Titans",0,"10"
"Football Team",0,"10"
"Cardinals",0.21005,"15"
"Falcons",0,"15"
"Ravens",0.4215,"15"
"Bills",0.9152,"15"
"Panthers",-0.369,"15"
"Bears",0.0772,"15"
"Bengals",0,"15"
"Browns",0.388666666666667,"15"
"Cowboys",0,"15"
"Broncos",0.1465,"15"
"Lions",0.5366,"15"
"Packers",0.3626,"15"
"Texans",0,"15"
"Colts",0,"15"
"Jaguars",0,"15"
"Chiefs",0,"15"
"Chargers",-0.5664,"15"
"Rams",0,"15"
"Dolphins",0.159533333333333,"15"
"Vikings",0.6059,"15"
"Patriots",0,"15"
"Saints",0,"15"
"Giants",0,"15"
"Jets",0,"15"
"Raiders",0.6696,"15"
"Eagles",0.4077,"15"
"Steelers",0.2199,"15"
"49ers",0.55574,"15"
"Seahawks",0.4434,"15"
"Buccaneers",0.0614,"15"
"Titans",0,"15"
"Football Team",0,"15"
"Cardinals",0.4201,"20"
"Falcons",0,"20"
"Ravens",0.4215,"20"
"Bills",0.9152,"20"
"Panthers",-0.369,"20"
"Bears",0.0772,"20"
"Bengals",0,"20"
"Browns",0.388666666666667,"20"
"Cowboys",0,"20"
"Broncos",0.1465,"20"
"Lions",0.5366,"20"
"Packers",0.3626,"20"
"Texans",0,"20"
"Colts",0,"20"
